Country Name,Export Value 2013,Import Value 2013,Export Value 2014,Import Value 2014,Export Value 2015,Import Value 2015,Export Value 2016,Import Value 2016,Export Value 2017,Import Value 2017,Export Value 2018,Import Value 2018,Export Value 2019,Import Value 2019,Export Value 2020,Import Value 2020,Export Value 2021,Import Value 2021,Export Value 2022,Import Value 2022,Export Value 2023,Import Value 2023,Export Value Total,Import Value Total
American Samoa,42685,98,64809,1658,11206,1906,11951,3916,13711,790,6038,1057,7895,1953,16232,1076,17444,1373,21462,3302,18776,4544,232209,21673
Zimbabwe,25899,13226,27368,4731,21150,6476,17773,3248,23244,15632,25964,4909,14088,13098,15514,11377,20404,9627,16083,10415,19563,20862,227050,113601
Western Sahara,,,,,,,,,76646,0,,,,,,,,,150285,1,,,226931,1
Uganda,15413,6961,15100,20539,20153,13441,17374,7799,14973,8006,18943,6307,17785,5029,26696,6581,33176,5208,27114,13398,19819,10015,226546,103284
Seychelles,22969,2406,23954,3263,17152,5366,17700,5438,21367,8376,19713,6560,19521,9365,12238,3519,13768,5610,16433,6621,10977,2490,195792,59014
Armenia,26657,7151,14509,3211,7526,3190,7457,3733,7499,6884,8787,7570,12729,16743,16554,27032,22845,47380,32519,30964,35558,96828,192640,250686
Moldova,9097,11630,10347,17704,5404,12317,7754,9004,8590,8825,12791,14258,14412,15437,15201,17339,20530,30766,37564,41572,50797,76101,192487,254953
Solomon Islands,1837,13253,7277,12286,6317,10783,18661,13804,20934,9728,23102,9751,49494,9966,37183,11040,7665,13191,8839,13139,6703,9916,188012,126857
Sierra Leone,11043,4282,16947,16010,6554,10501,5555,16125,6920,15242,8052,18148,8546,16569,7928,17358,8935,13601,9073,14178,79163,15074,168716,157088
Northern Mariana Islands,7183,208,13803,213,12531,236,15140,665,14524,1555,17448,2299,15802,2903,16909,1258,15801,1253,24411,1308,13188,1256,166740,13154
Gabon,25496,203253,17908,643299,23972,384569,14574,297681,10547,98968,11703,559533,10881,325366,9935,164586,7832,602738,10969,719637,15605,85289,159422,4084919
Malawi,19501,50524,14056,21648,13330,14679,12776,26615,9876,25623,13928,5818,7918,19617,13597,16857,11706,8465,20883,16168,21353,27393,158924,233407
Central African Republic,95745,335,,,3330,514,,,,,,,,,2866,394,3812,388,44969,183,,,150722,1814
Martinique,6941,652,8788,39,8462,1,7860,0,10396,3,17779,177,13441,78,16491,32,19003,60,16283,63,22982,2,148426,1107
Kiribati,18648,3647,32669,4740,10564,9541,8436,1294,11255,3733,12979,3814,10518,8671,8790,3186,10273,3420,12924,4467,7588,3419,144644,49932
Somalia,2013,0,4554,515,5515,6515,8715,1923,16245,3086,19296,5564,26710,5796,18652,3137,14350,958,13353,1760,14862,2204,144265,31458
North Macedonia,7115,1971,9424,2091,21400,1611,15101,3093,18568,2503,12790,4734,9033,5516,7944,8430,7607,8231,17257,5430,12395,12462,138634,56072
Palau,3005,114,13570,12,9136,4,10857,13,9748,210,15515,122,19092,3389,5088,314,13066,248,20007,334,13552,240,132636,5000
Guadeloupe,4874,63,6311,18,6964,1,5211,28,9569,4,19014,103,17769,132,9988,138,13511,5,14232,35,18745,64,126188,591
Antigua and Barbuda,37811,2201,7087,311,35987,8484,6357,3378,4324,2569,5483,7762,5004,5301,1909,19,2832,1208,3457,895,4408,698,114659,32826
Botswana,5711,372,9476,21212,11243,25590,33845,682,10048,714,11027,647,4453,605,10590,545,10409,450,3804,328,3627,405,114233,51550
Liechtenstein,4506,8739,6547,8761,6882,11224,8818,9380,11271,11785,10184,13207,13665,15745,12052,10360,14444,15702,12709,22455,12152,17547,113230,144905
Bosnia and Herzegovina,15521,5640,22525,11553,8109,11671,4138,12987,3458,21246,4189,23116,3853,23999,10244,23675,12384,32501,16690,53825,11194,42017,112305,262230
Suriname,19913,2441,11163,2573,9618,3636,5255,2715,7162,2783,9159,4181,17794,5790,5996,10053,6412,3514,9052,6679,6543,8624,108067,52989
Dutch Caribbean,24388,168,21649,2533,19092,559,18903,117,11467,12,4411,3,,,2281,13,,,,,5536,139,107727,3544
Saint Kitts and Nevis,2341,7,3791,2,11057,31,14761,15,2714,63,27178,105,,,33161,44,4123,205,6884,140,,,106010,612
Mauritania,11054,17829,12120,19620,7024,39869,6768,35284,6468,24519,12623,38453,10238,39059,6656,27295,8071,27311,12475,35777,8681,37763,102178,342779
Barbados,10718,219,14010,91,8475,311,11743,636,8354,346,8891,268,9683,683,4537,695,6537,584,6592,311,5522,190,95062,4334
Maldives,3674,386,4122,1444,5530,2783,10672,394,9616,191,9031,464,7265,136,6248,82,16568,60,10171,23,10295,68,93192,6031
Saint Martin,,,6203,0,,,,,18178,1,18358,0,12447,0,6091,0,7332,0,9907,0,9061,0,87577,1
Namibia,4904,43400,8386,114529,6778,72768,2342,44484,5495,25394,2863,21297,5631,60689,12319,33462,8803,15948,4968,11938,19832,117570,82321,561479
Belize,6495,745,5301,1329,5889,439,7509,357,7152,1228,9327,417,3213,284,3200,344,4168,2773,5678,430,13873,676,71805,9022
Niger,4828,105512,5206,2131,2087,47,1915,93295,3288,64483,5629,435,6880,8402,4302,2123,7301,49645,18345,10048,10350,81396,70131,417517
Bhutan,3270,382,2292,21,4860,10,3685,3,11441,8,4667,85,2020,11,12268,2,11035,1680,9067,2092,4456,2982,69061,7276
Vanuatu,4158,879,4187,20856,4454,4892,4206,16138,7087,8747,5766,13311,6970,18875,4600,11237,6505,16882,6080,15199,7705,14924,61718,141940
Curaçao,,,,,1835,56,2713,38,5163,65,7949,45,8677,0,3658,1,4318,54,11241,1,12747,635,58301,895
East Timor,13611,185471,5175,88291,8971,526,7544,687,5551,1031,2938,362,3054,380,2376,27677,,,,,2845,562,52065,304987
Equatorial Guinea,11873,109939,,,4964,1056146,10413,616995,,,,,,,4467,146209,14786,365578,4636,458044,,,51139,2752911
Montenegro,2137,50,,,,,1520,16,3050,599,4794,2270,3396,238,2514,3353,2573,47212,3605,320795,23657,152655,47246,527188
Dominica,4082,2702,5271,429,3923,8,7882,37,3791,92,3992,54,4703,270,2390,101,3348,498,3331,195,,,42713,4386
Eswatini,3591,33102,4828,15493,3157,17069,6068,4689,5902,7558,8682,15523,2328,27117,1763,1359,3124,752,3263,1399,,,42706,124061
Gambia,2026,32,2763,198,2999,287,9107,1883,2749,3621,5910,9366,2607,5590,2717,4079,3784,3865,3707,4926,3693,6407,42062,40254
Saint Lucia,3388,67,3235,18,2724,231,3435,127,3183,506,5302,138,3328,40,1977,165,3821,141,5349,411,4828,259,40570,2103
Nauru,,,,,,,,,,,34605,3145,3160,3897,1738,3642,,,,,,,39503,10684
French Guiana,,,3633,525,,,1689,0,2658,0,4856,0,5028,4756,2466,6326,5657,1,4736,44,6756,0,37479,11652
Eritrea,9754,18383,18036,19731,8298,13834,,,,,,,,,,,,,,,,,36088,51948
Tuvalu,,,,,,,,,4785,4,,,,,9254,50,11502,1030,4015,1553,3387,3896,32943,6533
Antarctica,2135,8193,11687,7617,4645,3988,,,,,,,,,,,,,3708,4817,9885,2748,32060,27363
British Indian Ocean Territory,28226,0,,,,,,,,,,,,,,,,,,,,,28226,0
Grenada,2495,2,2773,47,2383,4,2498,17,2583,6,2418,5,2724,14,,,2278,98,,,4221,23,24373,216
Cape Verde,,,,,,,1430,17,,,6692,42,3964,50,,,3764,35,3144,33,,,18994,177
Burundi,,,2199,63,,,,,3063,371,2765,299,,,,,2330,114,,,2968,237,13325,1084
Saint Vincent and the Grenadines,,,,,,,,,2082,6,1971,22,,,,,2200,16,4927,1169,,,11180,1213
Chad,,,,,3275,9,1544,19777,,,,,1637,5,,,,,,,3641,93011,10097,112802
International Monetary Fund,,,2692,0,2940,0,3897,0,,,,,,,,,,,,,,,9529,0
Mayotte,,,,,,,,,,,,,,,,,3701,0,,,3808,9,7509,9
French Southern Territories,,,,,,,,,,,,,,,6790,5,,,,,,,6790,5
Tonga,,,,,,,,,,,,,3285,2812,,,,,,,3042,451,6327,3263
Andorra,2122,128,,,,,,,,,,,1427,158,,,,,,,,,3549,286
South Sudan,,,,,,,,,,,,,,,,,2867,32,,,,,2867,32
