Country Name,Export Value 2013,Import Value 2013,Export Value 2014,Import Value 2014,Export Value 2015,Import Value 2015,Export Value 2016,Import Value 2016,Export Value 2017,Import Value 2017,Export Value 2018,Import Value 2018,Export Value 2019,Import Value 2019,Export Value 2020,Import Value 2020,Export Value 2021,Import Value 2021,Export Value 2022,Import Value 2022,Export Value 2023,Import Value 2023,Export Value Total,Import Value Total
Spain,1682123,1597030,2068471,2887540,2171040,2335070,2328644,2004620,2790573,1953078,3027371,2504152,2769854,2651355,2301058,1929173,2846423,2407228,3235876,2590359,3336623,2491014,28558056,25350619
Liberia,3512923,6483,2976249,8857,1299339,14917,3630394,949,1305070,9048,1399007,3582,1714137,20324,2133868,9442,1992412,8300,4175963,13649,4034086,6856,28173448,102407
Czech Republic,1682862,557479,1812359,558178,2040472,577188,2175831,619243,2211934,715834,2451643,863893,2114044,851712,2693680,943891,2953827,1094210,3150395,1026449,3116805,1290195,26403852,9098272
Norway,1539407,3655683,1669793,2841303,4779031,2627898,3509299,1656459,4678529,1287844,2874937,1629754,1801976,1325357,1462299,1543968,813964,2918614,964698,1954243,464594,1363639,24558527,22804762
Iran,4480902,5564403,4162243,4578119,3730938,2367368,3716567,4647659,4021061,7989300,2294784,4090548,282002,2134329,186342,8605,177469,5690,195461,11111,183314,3723,23431083,31400855
Panama,3484594,516357,2764664,495355,2230250,390764,1440987,339258,1642050,141295,2007502,153026,1713357,86767,1369395,271541,1570171,457945,1170475,593492,1087489,329359,20480934,3775159
Uzbekistan,1968036,53095,2032460,27361,1284047,16138,927671,20777,1180445,18117,2117451,21920,2338438,19708,1704234,18161,1879455,22053,2183539,27932,2369872,90299,19985648,335561
New Zealand,1490532,1395172,1730305,1526481,1262746,1225020,1305120,1098265,1305768,1214212,1743553,1380038,1391888,1299866,1463463,1181683,1924022,1541083,3490137,1856416,2856250,1740477,19963784,15458713
Egypt,1534529,1015832,2363828,531711,2178931,218406,1768981,62466,1324894,89643,1846769,312645,1573207,282013,1215173,345511,1681640,646127,1468077,1691309,1334901,630378,18290930,5826041
Chile,2458198,4657503,2083323,4810134,1742342,4402094,1611306,3704299,1530002,3803895,1807484,4474551,1214356,3959509,866536,3543256,1574182,4859460,1510397,6801722,1246374,7572012,17644500,52588435
Slovenia,1414000,93923,1665413,125834,1625893,112549,1656173,98086,1912509,113326,1888256,112294,1787940,117501,805154,113201,1360770,132655,1649980,110812,1396508,122808,17162596,1252989
Israel,1464116,856219,1224845,959741,1179523,870315,1274743,864787,1268293,1167007,1448112,1271467,1426747,901205,1424646,1077747,1824093,1600025,2121809,1603364,1913666,1542813,16570593,12714690
Iraq,1973470,9260666,1797611,6687228,1427688,6265691,1439620,5036216,1461632,6371009,1911537,9569140,1945069,7994634,934999,4268274,986297,5331337,1150883,9483975,1195974,7899268,16224780,78167438
Bangladesh,1427204,332478,1235935,345309,1208795,335264,1158421,293112,1276319,285756,1238299,346507,1282342,404703,1033331,392918,1635854,551613,2356959,677273,1625988,648872,15479447,4613805
Greece,884206,272244,1048668,411435,1312874,247299,2717515,175088,1627644,446494,978378,604311,1639553,528177,863204,796066,2029901,1308790,1232281,902430,1030255,918382,15364479,6610716
Malta,799071,785748,1014349,514612,2194190,262125,652762,78862,659690,95960,961113,101103,711520,68259,2018306,112235,3027598,97372,1762287,111777,899376,297754,14700262,2525807
Kazakhstan,1074499,249095,906958,560771,454475,305027,364129,285295,532726,998342,797818,1362109,2657131,1561644,1997529,1090196,769065,2442299,1655098,4869471,1968393,3568112,13177821,17292361
South Africa,2697795,1729269,1475573,1623905,1262447,1415943,950180,1331677,969810,2308884,1021977,2356475,834075,2185675,666319,1692102,988619,2620975,1144700,3769503,883855,3489441,12895350,24523849
Bahamas,1012964,7820,834693,16106,778639,10820,953101,23,1737240,31,1754853,113,2793628,75,447492,55,874999,66,535927,63,151052,313,11874588,35485
Sweden,872971,1624890,871068,1799801,699043,1591657,804249,1592819,895553,1761643,1046596,1861577,1070505,1744362,921242,1722632,1520456,2047238,1416953,1942882,1386710,2098577,11505346,19788078
Colombia,1342312,206586,1509399,607608,1128951,323482,853196,432729,813718,651351,1011626,834392,1143075,718214,593418,683976,898174,704076,939761,814756,773878,1068108,11007508,7045278
Austria,606904,1382572,937826,1344329,882326,1176688,840046,1091852,959364,1615096,1077184,1810162,864802,1553388,1065983,1627717,1300632,1964429,1421087,2172558,1027243,1916298,10983397,17655089
Nigeria,1570675,2307248,1378439,3095631,685804,1123491,460813,524860,2121967,500438,917850,1047562,759612,726037,516307,750203,962966,974487,886816,1791007,603027,1027725,10864276,13868689
Pakistan,818990,522060,769963,401916,790067,284514,828672,283010,1006764,317443,1018001,379953,832713,418831,1073230,226223,1545936,328171,1199470,487122,918504,257411,10802310,3906654
Kuwait,1132895,18725097,1975871,16892033,924699,8973358,1405816,7262270,1162575,9593955,1252986,12794285,956032,10771088,660349,5827875,348911,8253946,401510,12401897,558443,9658962,10780087,121154766
Bermuda,1600625,8,2038101,12,2032430,1,1488599,2,851594,4,425201,1,218879,2,1244381,327,569043,53,301951,4,5738,4,10776542,418
Denmark,1273631,918943,2232440,994309,1416978,997372,333428,736465,1496269,720580,1094176,793020,447817,892900,439173,935779,744457,1069554,510932,1056141,690986,1019994,10680287,10135057
Peru,1440213,1983017,1391727,1432825,1217373,1135814,1154989,1294386,913659,2132881,802926,2474365,743728,2317814,485263,2756311,793796,3450101,777679,2846950,688867,2936508,10410220,24760972
Togo,30574,17800,24058,29294,185092,42530,356894,46004,1044258,29912,1063507,47559,1299670,46993,812589,48633,473601,40403,2350512,56569,1031295,55863,8672050,461560
Jordan,1316643,67229,1383379,78212,849127,78116,619985,49306,647896,71888,520143,54620,531208,94396,469686,83990,668911,106807,821769,146173,758796,62652,8587543,893389
Switzerland,872192,2715495,313643,2755335,1485218,2454398,557751,2350355,487975,2734694,496532,3037455,588666,2979725,715875,2748948,855444,3360381,974269,3243517,1124687,3235614,8472252,31615917
Algeria,1023883,893445,1417300,1948089,850174,864932,1066249,199970,1238250,712838,949626,1965025,700918,1746239,254441,904040,197258,1902857,233307,3371797,284136,3152860,8215542,17662092
Oman,1007008,4783308,1171639,4596803,939410,2888281,615572,2367845,641218,2333294,674885,2775072,643228,2675102,612765,2176821,387625,3000551,350966,5306465,503185,5365275,7547501,38268817
Ecuador,919924,48399,811542,342493,641282,245724,434241,94246,608865,127803,781873,116893,479394,250479,377358,90561,761502,207462,770722,210303,768652,196087,7355355,1930450
Ireland,369072,833344,463123,935408,366317,1006447,565101,1210773,693159,1148370,649569,1171924,650050,1188611,924099,1145314,989738,1209110,822781,1377224,804549,1456639,7297558,12683164
Argentina,1074647,1195475,753793,501279,1046851,698865,795651,832577,836174,612437,536361,405944,341475,864517,331741,893977,390620,1824414,528690,2571714,445475,1628343,7081478,12029542
Angola,1241663,136179,1799960,149854,1858842,142541,552525,173858,338844,197956,159712,184524,236830,16733,80159,165780,101632,47805,118524,678,474761,11,6963452,1215919
Cambodia,614644,136313,654419,193994,652765,216527,572856,239773,603846,261326,660426,314477,696530,335922,567210,318112,623848,341516,641675,408879,575088,477216,6863307,3244055
Myanmar,705109,487769,800131,579894,659895,505679,760717,458666,573174,463336,534059,536583,631596,595191,608927,465871,367934,445759,384321,629081,697716,542054,6723579,5709883
Portugal,334104,203671,493240,181321,525894,203243,435995,232970,458723,270367,579368,322470,504686,286515,669355,396045,744393,449011,705325,480933,1098967,607422,6550050,3633968
Qatar,852068,25873843,904486,25723055,674062,16474762,535702,10081309,435462,11267090,525978,16293627,357290,13036553,339097,7562141,420152,11611066,526565,16567203,764249,14998929,6335111,169489578
Libya,1064313,479593,893210,743200,543876,181342,717214,321655,280138,645046,423434,329486,631887,225672,337527,19679,428883,12523,366876,90879,572190,46283,6259548,3095358
Romania,439404,745103,597928,642324,538616,614696,558963,538615,432311,451436,483450,403889,561606,454955,505034,531311,588049,627420,525997,788367,528461,972482,5759819,6770598
Ukraine,634596,448047,338809,758582,194367,661468,222247,472357,258560,539313,341333,386688,348736,455828,393856,626015,581488,308887,216928,704848,374510,649468,3905430,6011501
Finland,352253,1283177,340264,1355995,309258,1083191,329634,919819,297220,975347,331520,1348951,308177,1116595,282653,849481,530879,881614,315680,1166329,396134,995637,3793672,11976136
Morocco,292557,165702,308249,236901,349478,154176,543571,158534,274933,186909,331536,181861,322440,160114,271077,172205,309608,222249,357974,260209,392260,177800,3753683,2076660
Puerto Rico,273931,253289,270937,256912,285081,185985,285436,184367,243954,160799,324093,214998,278392,232970,280934,291244,404480,404197,411622,350392,626492,460465,3685352,2995618
Cyprus,66369,1299335,31014,168360,26710,76527,783901,84169,764864,97464,1390752,91618,42622,47976,30641,79726,214625,5769,205777,7091,57455,9766,3614730,1967801
Mongolia,399472,26958,346808,23585,245674,46187,208710,10355,228353,14156,307649,26905,291073,32596,271157,20535,384715,24949,426344,38240,476439,62790,3586394,327256
Mozambique,92375,14537,101296,28924,67614,11759,45382,25368,57222,149629,63545,235577,61745,201332,72573,135431,2593094,230461,127765,566824,94364,763873,3376975,2363715
Guatemala,394514,159575,319568,320690,398439,161867,288295,139246,241068,111965,237029,66908,221844,63838,203302,78049,383922,138280,322763,131362,328927,130701,3339671,1502481
Lithuania,145925,41411,216455,50775,263613,72712,307674,70143,310456,79894,306421,80495,344278,75004,249126,82269,224486,119279,384734,133452,372434,102173,3125602,907607
Dominican Republic,184447,108414,220855,128606,265024,78626,308215,83362,266911,118775,257607,154666,252420,88516,181413,71542,311057,91970,347496,101414,327266,148685,2922711,1174576
Sri Lanka,299315,84529,314125,93802,277841,84472,275512,88544,286837,84135,281699,87757,235237,100008,172017,110870,287727,141649,190613,144816,210666,118488,2831589,1139070
Kenya,258047,29173,344520,28135,256531,28304,162322,104477,204940,40192,239591,50453,151122,43596,220228,36975,258419,46846,456604,75736,269981,53434,2822305,537321
Ghana,350954,40681,219953,37760,252856,40079,215328,30814,243876,38346,220020,31211,191413,43958,224746,36120,297973,37267,209453,37497,180896,29171,2607468,402904
Bahrain,233977,598647,275226,615508,186802,498739,179725,248213,289756,393886,193412,562955,288148,513918,381660,419215,185231,673762,149158,914397,153834,499422,2516929,5938662
